,purchase,maintenance,operation,miles,total
0,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
1,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
2,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
3,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
4,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
5,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
6,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
7,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
8,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
9,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
10,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
11,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
12,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
13,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
14,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
15,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
16,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
17,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
18,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
19,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
20,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
21,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
22,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
23,3774.246728802198,1117.1087200321906,4551.876570126044,1926.0495172968806,9443.232018960432
24,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
25,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
26,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
