,purchase,maintenance,operation,miles,total
0,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
1,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
2,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
3,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
4,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
5,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
6,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
7,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
8,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
9,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
10,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
11,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
12,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
13,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
14,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
15,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
16,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
17,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
18,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
19,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
20,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
21,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
22,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
23,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
24,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
25,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
26,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
27,4812.164579222803,1134.3021716805472,2780.3425440725014,1922.5460536958428,8726.80929497585
