,vehicle,drive_train,category,purchase,operation,maintenance,passengers
0,Small,ICE,S,33806.666666666664,0.11266666666666665,0.04,5
1,Medium,ICE,M,38145.0,0.10500000000000001,0.042,7
2,Large,ICE,L,64985.0,0.37,0.2,24
3,X-Large,ICE,XL,129999.0,0.53,1.75,36
