vehicle_name,drive_train,size,purchase_cost,operation_cost,maintenance_cost,passengers,est_yearly_miles
Small_EV,EV,S,32000,0.055,0.03,5,15000
Medium_EV,EV,M,40000,0.041,0.05,7,15000
Large_EV,EV,L,60000,0.15,0.4,24,15000
XLarge_EV,EV,XL,200000,0.2,0.58,36,15000
Small_ICE,ICE,S,25000,0.12,0.04,5,20000
Medium_ICE,ICE,M,43000,0.11,0.042,7,43000
Large_ICE,ICE,L,75000,0.35,0.2,24,15000
XLarge_ICE,ICE,XL,140000,0.53,1.75,36,15000
